record_id,source_id,taxon,parasite,assay_stage,endpoint,outcome_family,descriptive_numeric_resolution,source_level_verified,pooling_decision,pooling_gate_failures,decision_basis
P036,annua-whole-plant-antimalarial-2012,Artemisia annua,Plasmodium chabaudi,rodent blood-stage malaria,parasitemia reduction,organismal_efficacy,partial_numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P037,annua-tea-artemisinin-only-2013,Artemisia annua,Plasmodium falciparum,in-vitro blood-stage assay,IC50,concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P038,annua-gametocyte-tea-2021,Artemisia annua; Artemisia afra,Plasmodium falciparum NF54,asexual parasites and early/late gametocytes in vitro,gametocytemia and marker-gene expression,other_or_unresolved,not_extractable,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P039,annua-complex-antimalarial-invitro-2021,Artemisia annua; Artemisia afra,Plasmodium falciparum 3D7; MRA1252/1240; Cam3.11/Cam3.11rev,ring-stage and growth assays,IC50 and ring-stage inhibition,concentration_or_dose_effect,partial_numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P040,artemisia-infusions-hypnozoite-2022,Artemisia annua; Artemisia afra,Plasmodium falciparum; P. vivax; P. cynomolgi,blood-stage and liver-stage parasites including hypnozoites,stage-specific inhibition including hypnozoite disruption,other_or_unresolved,not_extractable,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P041,absinthium-hymenolepis-2018,Artemisia absinthium,Hymenolepis nana,adult worms in vitro and infected mice,paralysis/death; ultrastructure; EPG and worm-burden reduction,concentration_or_dose_effect,not_extractable,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P042,absinthium-toxocara-2011,Artemisia absinthium,Toxocara cati,infected-cat veterinary study and egg embryonation in vitro,fecal egg count and egg development,organismal_efficacy,not_extractable,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P043,campestris-haemonchus-2014,Artemisia campestris,Haemonchus contortus,in-vitro eggs and adult worms,egg hatch and adult mortality,arthropod_or_worm_lethality,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P044,indica-roxburghiana-nematodes-2015,Artemisia indica; Artemisia roxburghiana,mixed gastrointestinal nematodes,in-vitro egg hatch larval mortality and adult mortality,stage-specific inhibition,arthropod_or_worm_lethality,partial_numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P045,cina-haemonchus-gerbil-2021,Artemisia cina,Haemonchus contortus,L3 and transitional L3-L4 in vitro; artificially infected gerbils,larval activity Hc29 expression and worm reduction,life_stage_assay,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P046,herba-alba-goat-haemonchus-1982,Artemisia herba-alba,Haemonchus contortus,infected-goat in-vivo study,clinical signs fecal eggs adult worms and lesions,organismal_efficacy,not_extractable,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P047,afra-powder-malaria-2024,Artemisia afra,Plasmodium berghei,infected-mouse blood-stage malaria,antimalarial efficacy,concentration_or_dose_effect,not_extractable,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P048,ludoviciana-fasciola-2023,Artemisia ludoviciana subsp. mexicana,Fasciola hepatica,eggs and adult flukes in vitro,ovicidal and fasciolicidal activity,other_or_unresolved,partial_numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P049,cina-peruvin-synergy-2024,Artemisia cina,Haemonchus contortus,eggs and infective L3 larvae in vitro,lethal effect and mixture interaction,other_or_unresolved,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P050,herba-alba-cattle-haemonchus-2025,Artemisia herba-alba,Haemonchus contortus,adult worms in vitro,motility loss and mortality,arthropod_or_worm_lethality,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P051,absinthium-goat-nematodes-2025,Artemisia absinthium,goat gastrointestinal nematodes,infective larvae in vitro and naturally infected goats in vivo,larval motility/larvicidal activity and FECRT,organismal_efficacy,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P052,vulgaris-fasciola-2023,Artemisia vulgaris,Fasciola gigantica,eggs and adult flukes in vitro,egg hatch and adult-fluke mortality/morphology,arthropod_or_worm_lethality,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P053,kermanensis-leishmania-2023,Artemisia kermanensis,Leishmania major,promastigotes and amastigotes in vitro,IC50 and macrophage toxicity,concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P054,annua-hydrotrope-antimalarial-2024,Artemisia annua,Plasmodium falciparum,in-vitro blood-stage malaria,extract antiplasmodial activity,other_or_unresolved,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P055,annua-standardized-leishmania-2025,Artemisia annua,Leishmania infantum,in-vitro protozoan assay,promastigote and amastigote viability,other_or_unresolved,not_extractable,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P056,cina-silver-nanoparticles-helminth-2025,Artemisia cina,Haemonchus contortus,in-vitro helminth assay,larval mortality and oxidative-enzyme response,concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P057,absinthium-haemonchus-medicinal-plants-2018,Artemisia absinthium,Haemonchus contortus,eggs and larvae in vitro,egg hatch and larval development,life_stage_assay,partial_numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P058,absinthium-ascaris-embryogenesis-2022,Artemisia absinthium,Ascaris suum,eggs and developing larvae in vitro,anti-embryogenesis and larval development,life_stage_assay,not_extractable,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P059,cina-bioassay-sesquiterpene,Artemisia cina,Haemonchus contortus L3,infective L3 larvae,larval lethality,arthropod_or_worm_lethality,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P060,stl-tcruzi-pcd-2014,Artemisia douglassiana,Trypanosoma cruzi,epimastigotes and trypomastigotes in vitro,programmed-cell-death markers,other_or_unresolved,not_extractable,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P061,absinthium-dracunculus-rootnematodes-2026,Artemisia absinthium; Artemisia dracunculus,root-knot nematodes and stored-product insects, Meloidogyne incognita and M. chitwoodi juveniles; Sitophilus granarius and Tribolium castaneum,mortality,arthropod_or_worm_lethality,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P062,absinthium-goat-coccidiosis-2013,Artemisia absinthium,Eimeria spp.,caprine intestinal coccidiosis,clinical recovery body-weight gain and fecal oocyst output,other_or_unresolved,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P063,sieberi-poultry-mite-2017,Artemisia sieberi,Dermanyssus gallinae,adult poultry red mite,contact toxicity and repellency,concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P064,sieberi-artemisinin-coccidia-2007,Artemisia sieberi,Eimeria tenella; Eimeria acervulina; Eimeria maxima,experimentally infected broilers and coccidial oocysts,anticoccidial severity and oocyst output,other_or_unresolved,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P065,absinthium-extraction-acaricide-2001,Artemisia absinthium,Tetranychus urticae,adult two-spotted spider mite,contact acaricidal mortality,concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P066,indica-antimalarial-principles-1998,Artemisia indica,Plasmodium falciparum,P. falciparum in vitro,parasite growth inhibition,other_or_unresolved,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P067,annua-gelatin-capsule-malaria-1992,Artemisia annua,Plasmodium berghei; Plasmodium vivax,rodent P. berghei and reported clinical P. vivax contexts,parasitemia clearance and recurrence,concentration_or_dose_effect,partial_numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P068,stl-leishmania-mexicana,Artemisia species,Leishmania mexicana,promastigote,in vitro growth inhibition,concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P069,absinthium-leishmania,Artemisia absinthium,Leishmania aethiopica; Leishmania donovani,promastigote and axenic amastigote,in vitro inhibition,concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P070,sieberi-malaria,Artemisia sieberi,Plasmodium berghei,in vivo infected mouse,parasitemia and pathophysiology reduction,organismal_efficacy,not_extractable,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P071,khorassanica-malaria,Artemisia khorassanica,Plasmodium berghei,in vivo infected mouse,antiplasmodial activity and pathophysiology reduction,other_or_unresolved,not_extractable,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P072,absinthium-ovine-nematodes,Artemisia absinthium,ovine gastrointestinal nematodes including Haemonchus contortus,adult nematodes in vitro and infected sheep in vivo,adult-worm paralysis/death and fecal egg-count reduction,organismal_efficacy,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P073,absinthium-wormwood-lambs,Artemisia absinthium,Haemonchus contortus,eggs in vitro and experimentally infected lambs,egg-hatch inhibition and fecal egg-count reduction,concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P074,absinthium-awassi-nematodes,Artemisia absinthium,gastrointestinal nematodes in naturally infected Awassi sheep,ovine in vivo FECRT on days 7 and 15,parasite-load suppression,organismal_efficacy,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
