record_id,taxon,evidence_type,subject,source_id,evidence_level,scope_note
E034,Artemisia annua,genotype_metabolomics,"Two genotypes and three growth stages differed in terpenoids and artemisinin-related metabolites; 21 compounds were PLS-DA markers",annua-genotype-metabolic-profile,primary_chemotype_metabolomics,"multivariate markers are not necessarily causal pathway intermediates"
E035,Artemisia annua,environmental_transcriptomics,"Short-term UV-B increased artemisinin production and induced ADS, CYP71AV1, and stress/hormone-associated transcripts",annua-uvb-transcriptome,primary_environmental_transcriptomics,"controlled UV-B response; induction does not establish antiparasitic efficacy or field-scale flux"
E036,Artemisia annua,genetic_perturbation,"CYP71AV1 disruption redirected flux toward arteannuin X and supported nonenzymatic terminal conversion in glandular trichomes",annua-cyp71av1-mutant,primary_genetic_perturbation,"within-species perturbation; alternate-product flux is not evidence of parasite activity"
E037,Artemisia absinthium,parasite_assay_and_chemistry,"Cuban essential oil was trans-sabinyl-acetate-rich (36.7%) and inhibited L. amazonensis promastigotes and amastigotes; in vivo intralesional treatment reduced lesion and parasite burden",absinthium-cuba-leishmania,parasite_assay_and_chemistry,"mixture-level oil evidence; route, dose, and regional chemotype are preparation-specific"
E038,Artemisia,phylogeny_and_chemistry,"Phylogeny-guided sampling of 117 ethnobotanically reported species detected artemisinin in nine species, including eight first reports",artemisia-antimalarial-phylogeny,phylogeny_and_chemistry,"screening detection and phylogenetic prioritization do not establish abundance, pathway completeness, or therapeutic equivalence"
E039,Artemisia annua,monoterpene_synthases,"Three newly characterized monoterpene synthases expand the experimentally supported monoterpene repertoire of A. annua",annua-monoterpene-synthases,G4_published_enzyme,"recombinant product profiles require matching tissue and in-planta abundance evidence"
E040,Artemisia annua,triterpene_cuticle,"Comparative glandular and filamentous trichome transcriptomics identified OSC2 and CYP716A14v2 functions in aerial-organ triterpenoid biosynthesis",annua-triterpene-cuticle,G4_published_enzyme_and_tissue,"tissue-resolved expression and enzyme evidence do not establish antiparasitic activity"
E041,Artemisia annua,diterpene_metabolism,"Diterpenoid metabolism was modulated alongside glandular-trichome formation, artemisinin production, and stress resilience",annua-diterpene-metabolism,G3_published_genomics_and_chemistry,"network-level perturbation does not assign a single diterpene or prove a parasite mechanism"
E042,Artemisia abyssinica,parasite_assay_and_chemistry,"A. abyssinica oil was compositionally profiled and tested against Leishmania promastigote and axenic-amastigote systems with mammalian-cell and erythrocyte controls",abyssinica-leishmania,mixture_assay_and_toxicity,"oil-level activity and toxicity are preparation-specific and do not identify a causal terpene"
E043,Artemisia absinthium,parasite_assay_and_chemistry,"A. absinthium essential oil was chemically profiled and tested against Leishmania strains with THP-1 and red-cell toxicity controls",absinthium-leishmania,mixture_assay_and_toxicity,"retain chemotype, parasite stage, and host-control context; do not generalize to all wormwood oils"
E044,Artemisia campestris,helminth_assay,"Chemical analyses and anthelmintic effects of A. campestris essential oil provide a preparation-linked helminth phenotype",campestris-helminth,mixture_assay,"oil composition and assay model must be matched before comparing with purified compounds or other species"
E045,"Artemisia annua; Artemisia deserti; Artemisia absinthium; Artemisia sieberi; Artemisia khorassanica",comparative_expression,"Artemisinin-pathway gene expression and glandular-trichome differences across five species",five-species-artemisinin-regulation,primary_comparative_expression,"expression and metabolite associations require species-aware orthology and flux validation"
E046,Artemisia argyi,transcriptomics,"Leaf root and stem terpenoid-biosynthesis candidate genes",argyi-terpenoid-transcriptome-2018,primary_transcriptomics,"de novo annotation and differential expression are candidate evidence rather than functional orthology"
E047,"Artemisia pedemontana subsp. assoana",parasite_assay_and_chemistry,"Essential oil and hydrolate chemistry with insect nematode protozoan and antiplasmodial assays",pedemontana-antiparasitic-oils,primary_chemistry_and_parasite_assay,"oil and hydrolate are separate preparations; constituent attribution and assay selectivity remain bounded"
E048,Artemisia sieversiana,parasite_assay_and_isolation,"Isolated sesquiterpenoids and trypanocidal activity",sieversiana-trypanocidal-sesquiterpenes,primary_isolation_and_parasite_assay,"compound identity and parasite-stage details require full-text extraction; non-terpene isolates remain separate"
E049,Artemisia annua,enzyme_evolution,"(E)-beta-farnesene synthase mutational sequence-function landscape",terpene-synthase-epistasis,primary_sequence_function_evolution,"experimental mutational effects inform mechanistic hypotheses but are not natural phylogenetic evidence"
E050,Artemisia absinthium,vector_assay_and_safety,"Essential oil and major constituents against six mosquito vectors with aquatic non-target toxicity",absinthium-mosquito-larvicide,primary_vector_assay_and_safety,"defined constituents and whole oil require separate dose-response and selectivity interpretation"
E051,Artemisia absinthium,parasite_assay_and_chemistry,"Fractionated essential oil components against Trypanosoma cruzi and Trichomonas vaginalis with cytotoxicity",absinthium-trypanocidal-oil,primary_chemistry_and_parasite_assay,"fractionation improves attribution but cultivated-population chemistry and host toxicity remain preparation-specific"
E052,Artemisia annua,enzyme_biosynthesis,"Amorpha-4,11-diene synthase catalyses the first probable step in artemisinin biosynthesis",annua-ads-first-step,primary_enzyme_biosynthesis,"foundational enzyme evidence supports ADS function but does not establish pathway completion in other species"
E053,Artemisia annua,developmental_chemistry,"Trichome dynamics and artemisinin accumulation across leaf development and senescence",annua-trichome-dynamics,primary_developmental_chemistry,"field developmental context is species- and tissue-specific"
E054,Artemisia annua,field_phenology,"Artemisinin and sesquiterpene precursors in dead and green leaves",annua-dead-green-leaves,primary_field_phenology,"precursor conversion and concentration require matched tissue mass-balance interpretation"
E055,Artemisia,chemotype,"Seven western Canadian Artemisia essential oils with comparative composition",artemisia-canadian-oils,primary_multi_species_chemotype,"merged or regional oils are not species-wide means and antimicrobial activity is not antiparasitic evidence"
E056,Artemisia absinthium,chemical_methods,"Lithuanian A. absinthium oil analyzed by chromatography, GC-MS, and 13C NMR with diterpene-associated constituents",absinthium-lithuania-delt,primary_multi_platform_chemistry,"multi-platform confirmation strengthens identity but abundance remains specimen-specific"
E057,Artemisia cina,helminth_assay_and_isolation,"Bio-guided isolation of a new sesquiterpene with activity against Haemonchus contortus L3 larvae",cina-bioassay-sesquiterpene,primary_isolation_and_helminth_assay,"defined-compound activity is stage-specific; host safety and in-vivo efficacy remain open"
E058,Artemisia brevifolia,helminth_assay_and_chemistry,"Phytochemical characterization with anthelmintic testing across gastrointestinal-nematode life stages",brevifolia-helminth-assay,primary_chemistry_and_helminth_assay,"life-stage comparisons require matched preparation, dose, and selectivity data"
E059,Artemisia arborescens,antileishmanial_dereplication,"HetCA/STOCSY-guided dereplication identifies furofuran lignan candidates with antileishmanial effects",arborescens-antileishmanial-dereplication,primary_dereplication_and_parasite_assay,"lignans are non-terpenes; dereplication and in-silico prioritization require isolation and target validation"
E060,Artemisia argyi,vector_assay_and_chemotype,"Seven geographic mugwort oils profiled and tested for repellency/insecticidal activity against Anopheles sinensis",argyi-seven-oil-vector,primary_multi_population_vector_assay,"oil phenotypes are mixture-level and population-specific; vector efficacy is not mammalian therapeutic evidence"
E061,Artemisia annua,enzyme_characterization,"Recombinant epi-cedrol synthase produced a multi-product sesquiterpene profile and showed lower activity with GPP",annua-epicedrol-synthase,primary_recombinant_enzyme,"heterologous product spectrum is catalytic capacity, not native flux or abundance"
E062,Artemisia annua,enzyme_and_expression,"Two sesquiterpene cyclase cDNAs broadened the experimentally studied A. annua TPS repertoire",annua-two-sesquiterpene-cyclases,primary_molecular_and_enzyme,"gene expression and recombinant products require native-tissue metabolite matching"
E063,Artemisia annua,qtl_genetics,"A linkage map identified loci affecting artemisinin yield",annua-artemisinin-genetic-map,primary_linkage_mapping,"QTL intervals are genotype-specific and do not identify causal genes without fine mapping"
E064,Artemisia annua,environmental_chemistry,"Prolonged salt exposure altered artemisinin and essential-oil accumulation across development",annua-salt-terpenoids,primary_controlled_stress_study,"treatment and phase effects are not natural-population adaptation evidence"
E065,Artemisia annua,whole_plant_regulation,"Grafting and metabolite measurements implicated root regulation of shoot trichomes and artemisinin chemistry",annua-root-regulation,primary_grafting_and_metabolites,"does not by itself identify a mobile signal or transport route"
E066,"Artemisia campestris; Artemisia herba-alba",population_chemotype,"Natural populations differed in essential-oil composition and non-parasitic bioassays",campestris-herba-alba-oil-variability,primary_multi_population_chemistry,"bioactivity association does not establish a causal constituent or antiparasitic effect"
E067,Artemisia annua,safety_chemistry,"Volatile profiles were paired with toxicological pharmacological and microbiological assays",annua-toxic-volatiles,primary_chemistry_and_toxicology,"preparation-specific oil evidence is not equivalent to purified artemisinin safety"
E068,Artemisia annua,genetic_perturbation,"T-DNA insertion altered terpenoid composition and crude-extract bioactivity",annua-tdna-terpenoids,primary_perturbation_and_chemistry,"pleiotropic insertion effects and mixture activity do not identify a causal terpene"
E069,Artemisia annua,developmental_regulation,"Reproductive development changed pathway-gene expression and artemisinin-related metabolites",annua-reproductive-development,primary_transcript_metabolite_timecourse,"correlated development and chemistry do not establish feedback mechanism alone"
E070,Artemisia annua,hormone_and_trichome_regulation,"Phytohormone treatments altered trichome formation and artemisinin biosynthesis",annua-phytohormone-trichomes,primary_controlled_perturbation,"treatment responses remain genotype and growth-condition specific"
E071,Artemisia annua,branch_competition,"Downregulation of beta-caryophyllene synthase increased artemisinin-pathway output",annua-caryophyllene-downregulation,primary_transgenic_perturbation,"engineered carbon reallocation is not proof of natural competition magnitude"
E072,Artemisia annua,cis_regulation_and_chemotype,"DBR2 promoter activity differed in relation to high- and low-artemisinin chemotypes",annua-dbr2-promoter-chemotypes,primary_promoter_and_metabolite,"promoter activity is one component of a multigenic chemotype"
E073,Artemisia annua,transcriptional_regulation,"Glandular-trichome-specific WRKY1 promoted artemisinin-pathway expression and accumulation",annua-wrky1,primary_transcription_factor_perturbation,"A. annua transgenic function is not evidence of conserved genus-wide regulation"
E074,Artemisia annua,precursor_supply,"AaHDR1 overexpression and suppression changed artemisinin and other terpenoids differentially",annua-hdr1-perturbation,primary_bidirectional_perturbation,"responses support network supply effects but not universal pathway control"
E075,Artemisia annua,metabolite_isolation,"Dihydroartemisinic acid was isolated as a late artemisinin-pathway candidate",annua-dihydroartemisinic-acid,primary_isolation_and_structure,"precursor status requires integration with flux and genetic evidence"
E076,Artemisia annua,metabolite_isolation,"Dihydroartemisinic acid hydroperoxide was isolated as a proposed late intermediate",annua-dhaa-hydroperoxide,primary_isolation_and_structure,"isolation does not establish the dominant physiological conversion route"
E077,Artemisia annua,enzyme_characterization,"Glandular-trichome cDNA yielded a recombinant germacrene A synthase",annua-germacrene-a-synthase,primary_recombinant_enzyme,"catalytic product is an anchor for a scaffold branch, not proof of downstream lactones"
E078,Artemisia annua,enzyme_characterization,"DBR2 cloning and functional assays established a reductive artemisinin branch step",annua-dbr2-primary,primary_enzyme_and_trichome,"branch function does not transfer automatically to homologs in other species"
E079,Artemisia annua,cellular_localization,"Artemisinin-pathway enzymes localized to apical glandular-secretory-trichome cells",annua-enzyme-localization,primary_immunolocalization,"localization supports compartment but not complete flux or transport"
E080,Artemisia annua,trichome_transcriptomics,"454 sequencing characterized a glandular-trichome transcriptome enriched for pathway candidates",annua-trichome-transcriptome,primary_resource_transcriptomics,"candidate transcripts require function and product validation"
E081,Artemisia annua,isotope_tracing,"13CO2 labeling traced carbon incorporation into artemisinin-pathway metabolites in growing plants",annua-carbon-isotope-flux,primary_stable_isotope_study,"label incorporation constrains flux but remains condition and time dependent"
E082,Artemisia annua,postharvest_chemistry,"Drying changed artemisinin and acid-precursor measurements in leaves",annua-drying-chemistry,primary_processing_experiment,"processing-specific changes prevent pooling fresh and dried material"
E083,Artemisia annua,monoterpene_downstream_enzyme,"A glandular-trichome monoterpene alcohol dehydrogenase was characterized",annua-monoterpene-adh,primary_enzyme_and_tissue,"recombinant substrate range does not establish dominant in-planta product"
E084,Artemisia annua,chemotype_perturbation,"Methyl jasmonate induced chemotype-dependent metabolic responses",annua-jasmonate-chemotype,primary_chemotype_by_treatment,"elicitor responses should not be generalized across accessions"
E085,Artemisia annua,tissue_expression,"Terpene-metabolism genes showed differential expression among plant tissues",annua-tissue-terpene-expression,primary_tissue_expression,"bulk transcript abundance does not prove enzyme activity or metabolite storage"
E086,Artemisia annua,transcriptional_regulation,"AaERF1 and AaERF2 linked jasmonate response to artemisinin-pathway regulation",annua-erf1-erf2,primary_transcription_factor_perturbation,"regulatory function remains species and experimental-context specific"
E087,Artemisia annua,enzyme_characterization,"Transient expression characterized multiple sesquiterpene synthase products",annua-sesquiterpene-synthases,primary_heterologous_expression,"heterologous host metabolism and substrate supply can affect observed products"
E088,Artemisia annua,ploidy_and_seasonality,"Tetraploid and diploid plants differed in seasonal artemisinin-pathway chemistry",annua-tetraploid-seasonality,primary_ploidy_timecourse,"polyploid material and cultivation conditions limit generalization"
E089,Artemisia annua,geographic_chemotype,"Accessions of different geographic origin showed distinct seasonal precursor profiles",annua-geographic-chemotypes,primary_multi_accession_timecourse,"geographic origin is confounded with genotype and cultivation history"
E090,Artemisia afra,safety_chemotype,"Oils from three South African provinces differed in safety-relevant composition",afra-regional-safety-chemistry,primary_multi_population_chemistry,"regional oil composition does not define species-wide exposure"
E091,Artemisia herba-alba,population_genetics_and_chemotype,"Eighty individuals from eight populations resolved four oil chemotypes and substantial marker diversity",herba-alba-genetic-chemotype,primary_population_genetics_and_chemistry,"chemical divergence was not a simple proxy for geography or marker structure"
E092,Artemisia annua,seasonal_sesquiterpenes,"Brazilian Chinese and Swiss germplasm differed in seasonal artemisinin DHAA and artemisinic-acid trajectories",annua-seasonal-sesquiterpenes,primary_multi_germplasm_field_study,"breeding inference is bounded to tested materials and environments"
E093,Artemisia argyi,full_length_transcriptomics,"Long-read transcript data expanded candidate terpenoid genes and isoforms",argyi-full-length-transcriptome,primary_full_length_transcriptomics,"isoform and annotation candidates do not prove enzyme function or orthology"
E094,Artemisia argyi,regulatory_genomics,"bHLH-family analysis integrated candidate regulators with targeted terpenoids",argyi-bhlh-terpenoids,primary_expression_and_metabolomics,"correlation is a prioritization signal, not direct regulation"
E095,Artemisia argyi,tissue_multiomics,"Roots stems and leaves differed in terpenoid metabolites and candidate gene expression",argyi-tissue-terpenoids,primary_tissue_metabolomics_and_transcriptomics,"co-expression and P450 nomination require biochemical validation"
E096,Artemisia argyi,temporal_multiomics,"Four harvest months showed changing volatile oils and correlated full-length transcripts",argyi-temporal-terpenoids,primary_temporal_chemistry_and_transcriptomics,"harvest correlation does not establish catalytic product or causality"
E097,Artemisia annua,non_artemisinin_regulation,"AabHLH112 perturbation affected beta-caryophyllene epi-cedrol and beta-farnesene-associated metabolism",annua-bhlh112-sesquiterpenes,primary_transcription_factor_perturbation,"regulatory effects are A. annua-specific until orthologs are tested"
E098,Artemisia annua,signal_integration,"AaMYB108 integrated light and jasmonate signals in artemisinin regulation",annua-myb108,primary_regulatory_perturbation,"controlled signal integration is not evidence of field-scale universal response"
E099,Artemisia annua,regulatory_complex,"AaGSW1 AaYABBY5 and AaWRKY9 were connected in a jasmonate-regulated complex",annua-gsw-regulatory-complex,primary_protein_interaction_and_perturbation,"complex conservation outside A. annua remains untested"
E100,Artemisia argyi,single_cell_multiomics,"Single-cell and metabolite analyses distinguished glandular trichomes and nominated TPS programs",argyi-single-cell-trichomes,primary_single_cell_and_metabolomics,"cell-type enrichment and network edges require enzyme and perturbation validation"
E101,Artemisia-associated sesquiterpene lactone,defined_compound_parasite_assay,"Dehydroleucodine altered Trypanosoma cruzi epimastigote growth in culture",dehydroleucodine-trypanosoma,primary_defined_compound_phenotype,"epimastigote activity is not intracellular-stage efficacy or host selectivity"
E102,Artemisia annua,compound_extract_helminth_assay,"Artemisinin and Artemisia extracts were compared against Haemonchus contortus in gerbils",annua-haemonchus-gerbil,primary_in_vivo_helminth_assay,"compound and extract exposures are not interchangeable and model translation is limited"
E103,Artemisia lancea,oil_helminth_assay,"Essential oil was tested against Haemonchus contortus eggs and larvae",lancea-haemonchus-oil,primary_stage_specific_in_vitro_assay,"oil-level phenotype does not identify active constituents or in-vivo exposure"
E104,Artemisia annua,whole_leaf_leishmania_assay,"Leaf powder was evaluated in Leishmania cell and animal models",annua-leaf-powder-leishmania,primary_complex_preparation_assay,"whole-leaf activity cannot be assigned to artemisinin or another terpene"
E105,Artemisia nilagirica,plasmodium_extract_assay,"A. nilagirica preparations were screened against Plasmodium falciparum",nilagirica-plasmodium,primary_extract_parasite_assay,"preparation-specific activity is not constituent attribution or clinical efficacy"
E106,"Artemisia afra; Artemisia annua",resistant_plasmodium_assay,"Aqueous extracts were tested against artemisinin-resistant P. falciparum with selectivity measurements",afra-annua-resistant-plasmodium,primary_resistance_and_selectivity_assay,"complex infusion activity cannot be projected onto isolated terpenes or treatment regimens"
E107,Defined artemisinin-related sesquiterpenes,structure_activity_parasite_assay,"Artemisinin and related sesquiterpenes were compared in rodent malaria",artemisinin-related-sesquiterpenes-malaria,primary_defined_compound_in_vivo_assay,"historical structure-activity results are compound and model specific"
E108,Artemisia absinthium,ovine_anthelmintic,"Crude aqueous and ethanolic aerial-part extracts inhibited adult Haemonchus contortus and reduced gastrointestinal-nematode fecal egg output in sheep",absinthium-ovine-nematodes,primary_in_vitro_and_in_vivo_anthelmintic,"CEE reached 90.46% FECR at 2.0 g/kg on day 15 in this study; extract chemistry and sheep translation remain bounded"
E109,Artemisia absinthium,nematode_oil_assay,"Oils from two thujone-free cultivated populations affected Trichinella spiralis larvae ex vivo and intestinal adults in vivo but not Meloidogyne javanica",absinthium-selective-nematocidal-oils,primary_oil_nematode_assay_and_safety,"population-dependent oil composition and nematode specificity prevent generalization to all wormwood oils"
E110,Artemisia absinthium,ovine_feed_assay,"Dried wormwood supplementation and aqueous extract testing produced ovicidal in-vitro effects against Haemonchus contortus, but group-level fecal egg counts in lambs did not differ significantly",absinthium-wormwood-lambs,primary_feed_and_ovine_helminth_assay,"in-vitro ovicidal activity is not equivalent to demonstrated flock-level efficacy"
E111,Artemisia absinthium,swine_field_trial,"Wormwood powder was administered in a low-input swine-farm study with gastrointestinal parasite outcomes",absinthium-swine-parasites,primary_field_veterinary_antiparasitic,"field co-intervention and complex powder chemistry prevent terpene attribution"
E112,Artemisia absinthium,Awassi sheep; natural gastrointestinal infection,"Crude ethanolic extract reduced parasite egg counts in naturally infected sheep, with lower efficacy than albendazole and no observed adverse effects during the trial",absinthium-awassi-nematodes,primary_recent_ovine_anthelmintic,"recent small study; clinical safety, residue, composition, and reproducibility require independent confirmation"
E113,Artemisia annua,dried whole plant; rodent malaria,"Dried whole-plant material overcame selected rodent artemisinin resistance and slowed resistance evolution relative to pure artemisinin in experimental Plasmodium models",annua-whole-plant-resistance,primary_rodent_malaria_and_resistance,"rodent whole-plant findings do not override WHO guidance or establish human efficacy of unstandardized material"
E114,Artemisia annua,whole-leaf mutant antiplasmodial assay,"Whole-leaf extracts from a CHI1 mutant lacking major flavonoids retained wild-type artemisinin levels and antiplasmodial efficacy, whereas artemisinin-impaired lines showed little or no activity against P. falciparum Dd2",annua-whole-leaf-flavonoid,primary_mutant_chemistry_and_parasite_assay,"supports artemisinin as the dominant in-vitro driver in this system; does not exclude matrix effects in other preparations"
E115,Artemisia annua,environmental chemotype and antimalarial assay,"White and blue LED treatments increased artemisinin/artemisinic acid and altered mono-, sesqui-, di-, and triterpene profiles; crude-extract IC50 values were 0.51, 0.52, and 1.11 microgram/mL for white, blue, and red treatments versus 2.23 microgram/mL for greenhouse plants",annua-led-antimalarial,primary_environmental_chemotype_and_parasite_assay,"controlled light experiment links environment, chemistry, and phenotype but does not assign activity to any one correlated terpene"
E116,Artemisia absinthium,defined compound and schistosome assay,"A. absinthium crude extract caused 100% adult Schistosoma mansoni mortality at 200 microgram/mL; fractionation yielded artemetin and the sesquiterpene lactone hydroxypelenolide",absinthium-schistosoma,primary_crude_extract_and_compound_helminth_assay,"schistosomicidal activity is in-vitro and extract/fraction specific; compound-level potency and host selectivity require separate confirmation"
E117,Artemisia absinthium,formulated essential-oil antileishmanial assay,"Thujone-containing A. absinthium essential oil in nanocochleates showed intracellular-amastigote IC50 21.5 +/- 2.5 microgram/mL, macrophage IC50 27.7 +/- 5.6 microgram/mL, and approximately 50% suppression in a murine cutaneous-leishmaniasis model at 30 mg/kg intralesional dosing",absinthium-nanocochleate-leishmania,primary_formulation_and_parasite_assay,"formulation, route, and oil chemotype determine exposure; this is not evidence for a wormwood vermifuge or a single terpene"
E118,Artemisia annua,extract/ART PK synergy in Pf3D7 and P. yoelii,"A. annua extract showed no synergy with artemisinin against Pf3D7 at 150 nM but a biphasic mouse P. yoelii matrix effect, with lower ED90 and comparable ED50; higher artemisinin exposure was observed at approximately 10% parasitemia",annua-extract-pk-synergy-2026,primary_antimalarial_pk_and_matrix_chemistry,"early-stage mouse PK/matrix result; chrysosplenetin is a non-terpene co-metabolite; not clinical evidence"
E119,Artemisia annua,chrysosplenetin plus artemisinin in resistant P. berghei K173,"Combination treatment improved survival and reduced parasitemia/inhibition measures in a resistant mouse model while changing ABC-transporter and heme-ROS/GSH-associated responses",annua-chrysosplenetin-resistance-2025,primary_antimalarial_matrix_and_resistance,"flavonoid matrix comparator, not a terpene target or human evidence"
